listing_id,status,property_type,title,price_usd,price_period,bedrooms,bathrooms,area_sqm,furnished,community_id,district_id,governorate_id,agency,agent_name,listing_url,scraped_at_utc
GOLD-GM103R,buy,Apartment,Apartment for sale in baouchriyeh,125000,USD,2,2,120,no,360,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM103R/apartment-for-sale-baouchriyeh-lebanon-GOLD-GM103R,1770714889
RWI-TO129,rent,Apartment,Furnished Apartment for rent in Achrafieh,1500,USD / month,2,3,155,yes,1259,28,2,Ray White Lebanon,Jean Gebrayel,https://www.realestate.com.lb/en/rent-properties-lebanon/RWI-TO129/apartment-for-rent-mar-mitr-lebanon-RWI-TO129,1770714889
HERO-S727,buy,Apartment,Luxurious Apt. | Prestigious Area | Large Balcony,1600000,USD,4,5,430,no,969,28,2,AgentHero of Lebanon,AgentHero of Lebanon,https://www.realestate.com.lb/en/buy-properties-lebanon/HERO-S727/apartment-for-sale-achrafieh-lebanon-HERO-S727,1770714889
RWI-RDH88,rent,Apartment,Apartment for Rent in Achrafieh – 210 sqm,1300,USD / month,3,3,210,yes,969,28,2,Ray White Lebanon,Ralph Hajjar,https://www.realestate.com.lb/en/rent-properties-lebanon/RWI-RDH88/apartment-for-rent-achrafieh-lebanon-RWI-RDH88,1770714889
RWI-RDH85,rent,Apartment,Furnished Apartment for Rent in Achrafieh – 130 sqm,2100,USD / month,2,3,130,no,969,28,2,Ray White Lebanon,Ralph Hajjar,https://www.realestate.com.lb/en/rent-properties-lebanon/RWI-RDH85/apartment-for-rent-achrafieh-lebanon-RWI-RDH85,1770714889
RWI-RDH83,rent,Loft,Modern Loft for Rent in Achrafieh,1200,USD / month,2,3,130,no,969,28,2,Ray White Lebanon,Ralph Hajjar,https://www.realestate.com.lb/en/rent-properties-lebanon/RWI-RDH83/loft-for-rent-achrafieh-lebanon-RWI-RDH83,1770714889
RWI-RDH84,rent,Apartment,Furnished Apartment for Rent in Achrafieh – 160 sqm,1500,USD / month,3,3,160,yes,969,28,2,Ray White Lebanon,Ralph Hajjar,https://www.realestate.com.lb/en/rent-properties-lebanon/RWI-RDH84/apartment-for-rent-achrafieh-lebanon-RWI-RDH84,1770714889
RWI-AN92,buy,Apartment,Apartment for Sale In Fanar,130000,USD,2,2,110,partly,66,24,6,Ray White Lebanon,Andrew Antoun,https://www.realestate.com.lb/en/buy-properties-lebanon/RWI-AN92/apartment-for-sale-fanar-lebanon-RWI-AN92,1770714889
RWI-RDH82,buy,Duplex,Duplex for Sale in Achrafieh – 350 sqm,650000,USD,3,4,350,no,969,28,2,Ray White Lebanon,Ralph Hajjar,https://www.realestate.com.lb/en/buy-properties-lebanon/RWI-RDH82/duplex-for-sale-achrafieh-lebanon-RWI-RDH82,1770714889
RWI-AN91,buy,Apartment,Apartment for Sale In Jdeideh,140000,USD,3,2,140,partly,211,24,6,Ray White Lebanon,Andrew Antoun,https://www.realestate.com.lb/en/buy-properties-lebanon/RWI-AN91/apartment-for-sale-jdeideh-lebanon-RWI-AN91,1770714889
RWI-RDH79,rent,Apartment,Spacious Furnished Apartment for Rent in Achrafieh,2000,USD / month,3,3,210,yes,969,28,2,Ray White Lebanon,Ralph Hajjar,https://www.realestate.com.lb/en/rent-properties-lebanon/RWI-RDH79/apartment-for-rent-achrafieh-lebanon-RWI-RDH79,1770714889
BL-BL2435565,rent,Apartment,Modern Apartment | Spacious | Breath-taking View,1400,USD / month,3,3,155,yes,969,28,2,Beirut Living,Johnny Assaf,https://www.realestate.com.lb/en/rent-properties-lebanon/BL-BL2435565/apartment-for-rent-achrafieh-lebanon-BL-BL2435565,1770714890
RWR-rg418,buy,Land,Prime Land for Sale in Ghazir – Perfect for a Commercial Center,2000000,USD,,,1050,no,616,32,6,Ray White Rabieh,Raymond Ghosn,https://www.realestate.com.lb/en/buy-properties-lebanon/RWR-rg418/land-for-sale-ghazir-lebanon-RWR-rg418,1770714890
RWR-RG417,buy,Land,Land for Sale – Ghadir | Prime Highway Location,3700000,USD,,,1300,no,908,32,6,Ray White Rabieh,Raymond Ghosn,https://www.realestate.com.lb/en/buy-properties-lebanon/RWR-RG417/land-for-sale-ghadir-lebanon-RWR-RG417,1770714890
GOLD-GM201R,buy,Apartment,Apartment for sale in Bsalim,240000,USD,2,3,170,no,393,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM201R/apartment-for-sale-bsalim-lebanon-GOLD-GM201R,1770714890
GOLD-GM275R,buy,Apartment,Apartment for sale in Fanar,277000,USD,2,3,130,no,66,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM275R/apartment-for-sale-fanar-lebanon-GOLD-GM275R,1770714890
